V160001_orig,V160101,V160501,V161155,V161267,V161270,V161310x,V161316,V161342,V161361x,V162368
300001,0.827,1,2,29,9,1,1,1,13,3
300002,1.0806,1,2,26,13,1,1,1,17,3
300003,0.3878,1,3,23,9,1,1,1,6,2
300004,0.3596,1,0,58,9,1,1,1,20,4
300006,0.647,1,3,38,9,1,1,2,3,2
300007,0.7062,1,0,60,14,1,1,1,1,-9
300008,3.9604,1,1,58,5,2,4,1,22,8
300012,0.962,1,3,56,9,1,1,2,28,2
300018,0.9761,1,3,45,9,6,1,1,12,2
300020,0.6182,1,3,30,10,1,1,2,19,1
300021,2.146,1,3,40,7,1,1,2,11,-6
300023,0.5548,1,3,86,10,1,1,2,14,-6
300026,0.919,1,5,30,13,5,4,1,24,8
300030,1.166,1,1,67,12,1,1,1,14,1
300034,0.335,1,1,62,14,1,1,2,10,2
300038,1.05,1,1,51,9,1,1,1,3,2
300039,0.8084,1,1,46,14,5,1,1,27,1
300040,0.2423,1,2,70,13,1,1,1,16,3
300041,1.7603,1,1,30,14,1,1,2,26,3
300042,1.3938,1,2,67,10,1,1,2,22,3
300045,0.8591,1,2,66,9,1,1,2,20,3
300046,0.5387,1,2,32,12,1,1,2,3,1
300047,2.7749,1,0,56,10,1,1,2,-9,1
300049,0.5215,1,0,65,14,1,1,2,15,2
300050,1.0294,1,3,61,8,6,1,1,13,4
300051,0.8431,1,3,34,7,4,1,1,9,4
300053,0.2153,1,3,68,13,1,1,-9,-9,3
300056,0.9996,1,3,25,9,1,1,2,17,1
300058,0.976,1,3,73,14,1,1,1,17,1
300059,1.8963,1,3,67,9,1,1,2,22,2
300062,0.9458,1,1,35,14,1,1,2,22,1
300064,0.3137,1,2,64,13,1,1,1,24,-6
300070,0.9602,1,2,73,10,1,1,2,-9,1
300072,0.2302,1,3,69,13,1,1,1,17,3
300073,0.5052,1,2,41,13,1,1,2,11,2
300082,0.595,1,1,67,16,1,1,1,6,3
300085,1.2441,1,3,59,9,1,1,2,7,-6
300092,0.5705,1,2,54,11,1,1,1,21,6
300093,0.9134,1,3,48,4,5,1,1,5,2
300094,2.0735,1,1,26,10,2,1,2,21,3
300098,1.1632,1,3,-9,8,1,1,-9,-9,-5
300099,0.2349,1,2,25,11,1,1,2,9,2
300100,0.7569,1,1,46,13,2,1,2,19,7
300103,0.7611,1,2,59,11,1,1,1,14,1
300106,0.9391,1,3,39,12,1,1,2,14,1
300107,1.2799,1,1,52,13,1,1,2,26,2
300109,0.2348,1,3,29,13,5,4,2,13,3
300111,0.51,1,3,46,11,1,1,1,17,3
300113,0.9644,1,1,45,95,6,1,1,24,2
300116,1.0705,1,1,64,8,2,1,1,1,-6
300119,1.2944,1,3,43,11,1,1,2,1,-6
300121,0.2921,1,1,61,14,1,1,2,22,3
300123,0.3374,1,2,30,12,1,1,1,14,-6
300124,0.4777,1,2,55,11,1,1,1,26,3
300131,0.6189,1,1,35,16,1,1,2,27,2
300135,1.6747,1,3,24,12,1,1,2,14,1
300136,0.4045,1,5,85,2,5,1,2,6,4
300137,0.3406,1,1,61,13,5,2,1,1,2
300140,0.6149,1,1,52,13,1,1,2,19,3
300142,1.0145,1,3,56,9,1,1,1,14,3
300143,0.4979,1,1,68,10,2,1,1,-9,8
300144,1.263,1,1,76,10,2,1,2,7,5
300146,0.6266,1,3,31,13,1,1,1,17,1
300148,0.6756,1,2,19,13,1,1,2,27,3
300150,1.7217,1,1,47,9,1,1,2,3,-6
300151,0.7446,1,3,68,11,1,1,2,5,-6
300152,5.1289,1,1,57,14,1,1,1,27,3
300153,1.656,1,3,27,9,1,1,2,11,4
300154,0.5162,1,3,32,9,1,1,2,3,4
300155,0.374,1,1,45,12,1,1,1,13,3
300161,0.4137,1,1,50,7,5,4,2,8,2
300165,0.5057,1,1,68,14,2,1,2,18,3
300168,1.4863,1,1,60,10,6,1,1,20,5
300169,0.2232,1,3,36,13,5,1,2,3,6
300170,1.0329,1,1,27,7,5,1,2,4,4
300171,0.5135,1,2,-8,9,3,4,1,12,5
300172,0.311,1,3,46,10,1,1,2,23,3
300175,0.5711,1,3,35,10,1,1,1,15,2
300176,1.3222,1,3,44,9,1,1,2,9,2
300177,1.0308,1,1,78,9,2,1,2,4,3
300179,0.6438,1,3,83,13,1,1,1,15,-6
300180,0.2539,1,-9,65,12,5,4,2,1,3
300181,1.9046,1,1,55,9,1,1,1,11,4
300182,0.3116,1,1,69,13,5,4,2,12,4
300184,0.3921,1,3,55,13,2,1,1,26,5
300185,1.0153,1,0,31,13,1,1,1,3,2
300186,0.5961,1,3,68,14,1,1,1,12,2
300187,1.2481,1,3,42,16,1,1,1,25,2
300188,0.8181,1,2,82,9,1,1,2,15,1
300195,0.3122,1,2,53,10,1,1,2,24,-6
300196,0.8017,1,2,65,13,1,1,1,16,-6
300198,1.5802,1,1,42,12,2,1,2,1,5
300200,0.3596,1,1,48,9,5,4,1,-9,-6
300204,0.3686,1,1,30,10,1,1,1,24,1
300207,1.149,1,3,23,13,6,1,2,15,6
300209,0.9668,1,2,51,9,1,1,1,22,2
300210,0.6728,1,2,31,9,1,1,2,24,-6
300212,0.3265,1,1,68,4,5,4,1,6,-6
300215,0.3111,1,0,66,14,1,1,2,14,2
300217,0.4792,1,2,29,12,1,1,2,24,3
300222,0.567,1,1,36,13,1,1,2,26,3
300224,1.6613,1,1,47,13,1,1,2,24,1
300227,1.4018,1,3,61,9,1,1,1,22,3
300228,2.1088,1,1,26,13,1,1,2,12,3
300230,0.8667,1,2,88,8,1,1,1,-9,-9
300232,0.678,1,1,83,3,6,1,2,1,-9
300234,1.1388,1,3,51,13,1,1,1,27,2
300235,0.9688,1,2,36,9,1,1,1,17,2
300237,0.6544,1,3,68,11,1,1,2,7,3
300238,1.1231,1,3,23,9,5,1,1,5,4
300240,1.0482,1,3,34,10,1,1,2,15,1
300242,1.3758,1,3,58,10,1,1,2,25,3
300244,0.8591,1,3,69,13,6,1,1,14,1
300245,1.3784,1,3,19,10,5,1,1,24,6
300246,0.5574,1,1,30,9,5,1,1,12,4
300248,1.8809,1,5,75,9,1,1,2,11,-5
300250,1.2423,1,3,50,9,1,1,1,22,3
300252,0.4647,1,1,54,13,5,1,1,17,5
300254,1.0547,1,1,38,9,1,1,2,13,2
300255,1.4611,1,2,27,10,1,1,2,14,5
300256,0.1465,1,0,69,11,1,1,2,1,1
300259,1.0142,1,2,43,11,5,4,2,22,-6
300261,0.9433,1,3,33,9,3,1,2,17,5
300264,0.514,1,0,87,11,1,1,2,-9,-6
300267,0.5134,1,2,26,9,1,1,1,13,2
300269,0.3035,1,2,34,12,5,1,2,11,5
300270,0.6075,1,3,33,13,1,1,2,24,2
300273,0.6912,1,2,57,10,1,1,1,1,2
