V160001_orig,V168302,V168311,V168312,V168313
300001,3,2,1,2
300002,1,2,1,2
300003,3,2,1,2
300004,2,2,1,2
300005,-1,-1,-1,-1
300006,3,2,1,2
300007,2,2,1,2
300008,-9,2,1,2
300009,-1,-1,-1,-1
300010,-1,-1,-1,-1
300011,-1,-1,-1,-1
300012,1,2,1,2
300013,-1,-1,-1,-1
300014,-1,-1,-1,-1
300015,-1,-1,-1,-1
300016,-1,-1,-1,-1
300017,-1,-1,-1,-1
300018,-9,2,1,2
300019,-1,-1,-1,-1
300020,-9,2,2,1
300021,-6,-6,-6,-6
300022,-1,-1,-1,-1
300023,-6,-6,-6,-6
300024,-1,-1,-1,-1
300025,-1,-1,-1,-1
300026,2,2,1,2
300027,-1,-1,-1,-1
300028,-1,-1,-1,-1
300029,-1,-1,-1,-1
300030,3,2,1,2
300031,-1,-1,-1,-1
300032,-1,-1,-1,-1
300033,-1,-1,-1,-1
300034,3,2,1,2
300035,-1,-1,-1,-1
300036,-1,-1,-1,-1
300037,-1,-1,-1,-1
300038,3,2,1,2
300039,2,2,1,2
300040,3,2,1,2
300041,-9,2,1,2
300042,2,2,1,2
300043,-1,-1,-1,-1
300044,-1,-1,-1,-1
300045,3,2,1,2
300046,4,2,2,1
300047,3,2,1,2
300048,-1,-1,-1,-1
300049,3,2,1,2
300050,-9,2,2,1
300051,3,2,1,2
300052,-1,-1,-1,-1
300053,3,1,2,2
300054,-1,-1,-1,-1
300055,-1,-1,-1,-1
300056,2,2,1,2
300057,-1,-1,-1,-1
300058,3,2,1,2
300059,3,2,1,2
300060,-1,-1,-1,-1
300061,-1,-1,-1,-1
300062,4,2,2,1
300063,-1,-1,-1,-1
300064,-6,-6,-6,-6
300065,-1,-1,-1,-1
300066,-1,-1,-1,-1
300067,-1,-1,-1,-1
300068,-1,-1,-1,-1
300069,-1,-1,-1,-1
300070,2,2,1,2
300071,-1,-1,-1,-1
300072,4,2,2,1
300073,-9,2,1,2
300074,-1,-1,-1,-1
300075,-1,-1,-1,-1
300076,-1,-1,-1,-1
300077,-1,-1,-1,-1
300078,-1,-1,-1,-1
300079,-1,-1,-1,-1
300080,-1,-1,-1,-1
300081,-1,-1,-1,-1
300082,2,2,1,2
300083,-1,-1,-1,-1
300084,-1,-1,-1,-1
300085,-6,-6,-6,-6
300086,-1,-1,-1,-1
300087,-1,-1,-1,-1
300088,-1,-1,-1,-1
300089,-1,-1,-1,-1
300090,-1,-1,-1,-1
300091,-1,-1,-1,-1
300092,3,2,1,2
300093,1,2,1,2
300094,4,2,2,1
300095,-1,-1,-1,-1
300096,-1,-1,-1,-1
